NYSE Stock Exchange
"Wednesday, August 20, 2014 5:32 PM"

Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Biglari Holdings Rt,BH%@,26.06,26.15,25.55,25.75,-1.12,-4.17,"5,844",34.00,25.55,...,...,...,-19.78
Big Lots,BIG,47.50,47.75,47.16,47.58,0.11,0.23,"551,939",47.76,25.50,...,...,28.32,47.35
Bill Barrett,BBG,21.77,22.17,21.44,21.95,0.09,0.41,"657,111",30.69,20.52,...,...,...,-18.04
BioAmber,BIOA,11.82,11.96,11.51,11.81,0.06,0.51,"30,715",15.29,3.96,...,...,...,57.89
BioAmber WT,BIOA%,2.66,2.74,2.66,2.74,-0.01,-0.37,"346",3.13,0.51,...,...,...,275.33
BioMed Realty Trust,BMR,22.40,22.59,22.25,22.54,0.09,0.40,"1,350,214",22.59,17.90,1.00,4.44,83.48,24.39
Bio-Rad Laboratories Cl A,BIO,120.31,120.60,119.21,120.00,-0.79,-0.65,"186,017",134.13,113.02,...,...,56.34,-2.92
Bitauto Holdings ADS,BITA,81.70,83.50,77.25,78.43,-3.80,-4.62,"2,526,381",84.99,13.60,...,...,61.24,145.40
Black Hills,BKH,52.64,52.85,52.31,52.74,-0.13,-0.25,"199,885",62.13,46.62,1.56,2.96,21.35,0.44
BlackRock,BLK,321.41,324.96,319.80,324.72,3.17,0.99,"526,908",331.90,257.19,7.72,2.38,17.51,2.61
Blackstone Group,BX,32.84,33.10,32.67,32.88,-0.12,-0.36,"3,344,940",36.08,21.30,2.20,6.69,12.50,4.38
Blackstone Mortgage Trust Cl A,BXMT,28.35,28.63,28.13,28.48,0.06,0.21,"209,854",30.04,24.31,1.92,6.74,26.13,4.98
Blount International,BLT,15.89,16.07,15.70,15.88,-0.06,-0.38,"302,317",16.07,10.84,...,...,83.58,9.74
Blue Capital Reinsurance Holdings,BCRH,18.04,18.25,18.01,18.07,-0.02,-0.11,"10,536",21.02,16.46,1.20,6.64,...,-1.63
BlueLinx Holdings,BXC,1.26,1.29,1.24,1.29,0.01,0.78,"52,517",2.14,1.07,...,...,...,-33.85
BLYTH,BTH,6.42,6.50,6.27,6.32,-0.18,-2.77,"43,420",17.17,5.65,0.10,1.58,...,-41.91
Boardwalk Pipeline Partners,BWP,20.46,20.49,20.15,20.44,0.03,0.15,"1,540,863",31.91,11.99,0.40,1.96,20.31,-19.91
Boeing,BA,125.89,127.71,125.58,127.35,1.77,1.41,"4,307,598",144.57,102.57,2.92,2.29,18.96,-6.70
Boise Cascade,BCC,30.48,30.69,30.13,30.57,0.06,0.20,"232,491",31.86,22.55,...,...,21.08,3.70
Bonanza Creek Energy,BCEI,58.96,59.56,57.67,59.41,0.49,0.83,"390,574",62.94,37.00,...,...,40.97,36.67
Booz Allen Hamilton Holding,BAH,21.58,21.80,21.49,21.55,-0.01,-0.05,"853,228",25.32,16.61,0.44,2.04,13.51,12.53
BorgWarner,BWA,62.80,64.00,62.46,63.72,0.83,1.32,"943,786",67.49,47.15,0.52,0.82,22.01,13.97
Boston Beer Cl A,SAM,227.93,227.93,225.80,226.99,-2.87,-1.25,"23,790",265.53,202.78,...,...,37.89,-6.12
Boston Properties,BXP,122.58,123.80,121.89,123.41,0.47,0.38,"404,243",123.80,98.04,2.60,2.11,72.03,22.96
Boston Scientific,BSX,12.58,12.64,12.50,12.60,0.01,0.08,"6,378,683",14.08,10.54,...,...,70.27,4.83
Box Ships,TEU,1.52,1.52,1.40,1.47,-0.04,-2.65,"147,379",4.66,1.19,...,...,5.65,-55.32
Boyd Gaming,BYD,10.68,10.69,10.40,10.56,-0.17,-1.58,"696,360",14.75,9.11,...,...,...,-6.22
BP ADS,BP,48.14,48.26,48.01,48.19,-0.11,-0.23,"2,914,875",53.48,40.51,...,...,12.68,-0.86
BP Prudhoe Bay Royalty Trust,BPT,92.07,92.33,91.54,91.79,-0.30,-0.33,"56,739",102.97,70.50,12.13,13.22,9.92,15.27
BPZ Resources,BPZ,2.42,2.43,2.29,2.37,-0.03,-1.25,"481,382",3.40,1.58,...,...,...,30.22
Brady Cl A,BRC,26.36,26.49,26.00,26.38,-0.12,-0.45,"165,575",35.21,24.07,0.78,2.96,...,-14.71
Brandywine Realty Trust,BDN,15.84,15.99,15.79,15.94,0.06,0.38,"797,300",16.33,12.42,0.60,3.76,110.54,13.13
BrasilAgro-Companhia Brasileira de Propriedades Agricolas ADS,LND,4.34,4.36,4.29,4.30,-0.03,-0.78,"932",4.95,3.18,...,...,40.76,8.59
Braskem ADS,BAK,13.66,13.82,13.39,13.50,-0.12,-0.88,"257,627",18.58,12.14,0.54,4.00,13.01,-24.37
BRF ADS,BRFS,25.46,25.52,25.22,25.37,-0.01,-0.04,"1,028,249",26.42,16.48,...,...,...,21.56
Bridgepoint Education,BPI,13.38,13.38,13.05,13.15,-0.27,-2.01,"75,017",20.33,11.80,...,...,50.58,-25.75
Briggs&Stratton,BGG,20.82,20.97,20.67,20.80,-0.06,-0.29,"529,362",23.02,18.18,0.50,2.40,35.25,-4.41
Bright Horizons Family Solutions,BFAM,42.43,42.43,41.94,42.20,-0.48,-1.12,"52,518",44.16,32.78,...,...,36.38,14.86
Brinker International,EAT,48.40,48.61,47.87,48.45,...,...,"1,002,167",55.45,38.40,0.96,1.98,20.88,4.55
Brink's,BCO,27.31,27.41,27.11,27.15,-0.21,-0.77,"306,414",35.73,24.25,0.40,1.47,169.69,-20.47
Bristol-Myers Squibb,BMY,50.07,50.29,49.88,50.04,-0.26,-0.52,"3,528,364",57.49,41.11,1.44,2.88,30.70,-5.85
Bristow Group,BRS,71.32,71.46,70.26,70.62,-1.11,-1.55,"191,681",85.70,64.10,1.28,1.81,12.52,-5.92
Brixmor Property Group,BRX,23.88,24.05,23.73,23.99,0.13,0.54,"449,701",24.05,19.38,0.80,3.33,...,18.00
Broadridge Financial Solutions,BR,41.25,42.13,41.19,42.03,0.68,1.64,"952,122",42.31,29.22,1.08,2.57,19.28,6.35
Brookdale Senior Living,BKD,34.02,34.20,33.86,33.96,-0.07,-0.21,"1,285,115",36.18,24.42,...,...,...,24.94
Brookfield Asset Management Cl A,BAM,47.88,48.02,47.50,47.94,0.05,0.10,"249,240",48.10,33.67,0.64,1.34,10.90,23.46
Brookfield Infrastructure Partners,BIP,41.30,41.45,40.99,41.24,-0.13,-0.31,"83,543",42.09,34.09,1.92,4.66,...,5.15
Brookfield Property Partners,BPY,21.60,21.74,21.42,21.56,-0.09,-0.42,"127,163",21.94,18.19,1.00,4.64,5.23,8.12
Brookfield Renewable Energy Partners,BEP,29.44,29.54,29.30,29.30,-0.17,-0.58,"37,344",30.19,25.08,1.55,5.29,24.21,12.00
Brookfield Residential Properties,BRP,20.02,20.20,19.90,20.06,-0.08,-0.40,"61,417",24.50,18.24,...,...,14.70,-17.07
Brown&Brown,BRO,31.86,31.97,31.77,31.89,0.04,0.13,"518,327",33.69,27.76,0.40,1.25,21.12,1.59
Brown-Forman Cl A,BFA,92.90,92.90,91.64,92.25,-0.67,-0.72,"3,919",95.29,65.46,1.16,1.26,29.85,25.05
